gene,cluster,cell_type,representative_rank,marker_score,avg_log2FC,pct_in,pct_out,official_gene_name,immune_function,immune_cell_contexts,biological_role,function_tags,pathway_tags,disease_context_tags,publication_count,evidence_grade,grade_explanation,plain_language_note,interpretation_status
CD79B,1,B cells,3,83.55192862520704,5.473424,0.9051724137931034,0.1419213973799126,CD79B,The selected PubMed collection discusses CD79B in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,E,Selected evidence is limited and does not meet the thresholds for grades A–D.,"Selected PubMed records provide context for CD79B, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
TCL1A,1,B cells,4,83.18081201089194,6.973357,0.617816091954023,0.0213973799126637,TCL1A,The selected PubMed collection discusses TCL1A in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for TCL1A, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
HLA-DQA1,1,B cells,5,81.76646359624556,5.323151,0.8850574712643678,0.1170305676855895,HLA-DQA1,The selected PubMed collection discusses HLA-DQA1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for HLA-DQA1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
LINC00926,1,B cells,6,80.62116849718919,7.3965635,0.5545977011494253,0.0096069868995633,LINC00926,The selected PubMed collection discusses LINC00926 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for LINC00926, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
VPREB3,1,B cells,7,70.93168440370427,7.4475465,0.4827586206896552,0.0065502183406113,VPREB3,The selected PubMed collection discusses VPREB3 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for VPREB3, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
HLA-DQB1,1,B cells,8,69.90597398943936,4.9287853,0.8563218390804598,0.1471615720524017,HLA-DQB1,The selected PubMed collection discusses HLA-DQB1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for HLA-DQB1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
HLA-DRA,1,B cells,9,49.28214511790394,4.8644876,1.0,0.4934497816593886,HLA-DRA,The selected PubMed collection discusses HLA-DRA in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for HLA-DRA, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
FCER2,1,B cells,10,47.65437108545402,6.4800057,0.3764367816091954,0.0087336244541484,FCER2,The selected PubMed collection discusses FCER2 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for FCER2, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
IL32,2,IL7R+ memory/helper T cells,1,24.908119956895483,2.5212312,0.9335548172757476,0.4395874263261297,IL32,The selected PubMed collection discusses IL32 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for IL32, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
IL7R,2,IL7R+ memory/helper T cells,2,22.72265682128987,2.4253447,0.7641196013289037,0.2956777996070727,IL7R,The selected PubMed collection discusses IL7R in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for IL7R, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CD3D,2,IL7R+ memory/helper T cells,3,22.452292749074783,2.2394993,0.9069767441860463,0.4056974459724951,CD3D,The selected PubMed collection discusses CD3D in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CD3D, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
LTB,2,IL7R+ memory/helper T cells,4,17.46941342012545,2.4414456,0.9800664451827242,0.6222986247544204,LTB,The selected PubMed collection discusses LTB in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for LTB, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CD3E,2,IL7R+ memory/helper T cells,5,17.307203717676504,1.9740841,0.8239202657807309,0.3855599214145383,CD3E,The selected PubMed collection discusses CD3E in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CD3E, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CD2,2,IL7R+ memory/helper T cells,6,16.468490678015,2.0757544,0.6245847176079734,0.2278978388998035,CD2,The selected PubMed collection discusses CD2 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,E,Selected evidence is limited and does not meet the thresholds for grades A–D.,"Selected PubMed records provide context for CD2, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
AQP3,2,IL7R+ memory/helper T cells,7,15.71866768369352,2.5294793,0.4069767441860465,0.0962671905697446,AQP3,The selected PubMed collection discusses AQP3 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for AQP3, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
LDHB,2,IL7R+ memory/helper T cells,8,14.611664504637456,1.9900601,0.9584717607973422,0.5913555992141454,LDHB,The selected PubMed collection discusses LDHB in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for LDHB, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
TRAT1,2,IL7R+ memory/helper T cells,9,14.197043326534342,2.327359,0.4086378737541528,0.1036345776031434,TRAT1,The selected PubMed collection discusses TRAT1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for TRAT1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
SPOCK2,2,IL7R+ memory/helper T cells,10,11.975311322389675,2.0154731,0.4385382059800664,0.1414538310412573,SPOCK2,The selected PubMed collection discusses SPOCK2 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for SPOCK2, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
S100A8,3,Classical monocytes,1,121.00013365112584,7.360887,0.9422310756972112,0.1203183520599251,S100A8,The selected PubMed collection discusses S100A8 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for S100A8, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
LGALS2,3,Classical monocytes,2,120.37660500134297,7.0165505,0.9083665338645418,0.0505617977528089,LGALS2,The selected PubMed collection discusses LGALS2 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for LGALS2, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
S100A9,3,Classical monocytes,3,109.7636189749541,7.1833234,0.9760956175298804,0.2120786516853932,S100A9,The selected PubMed collection discusses S100A9 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for S100A9, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
FCN1,3,Classical monocytes,4,86.45212355002464,5.4703546,0.9362549800796812,0.146067415730337,FCN1,The selected PubMed collection discusses FCN1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,C,Laboratory or animal evidence predominates (1 selected experimental study/studies); repeated human evidence is insufficient.,"Selected PubMed records provide context for FCN1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CST3,3,Classical monocytes,5,85.9364770541206,5.8571362,0.9920318725099602,0.2584269662921348,CST3,The selected PubMed collection discusses CST3 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CST3, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
TYROBP,3,Classical monocytes,6,80.5991448260143,5.471521,0.99402390438247,0.2574906367041198,TYROBP,The selected PubMed collection discusses TYROBP in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for TYROBP, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CD14,3,Classical monocytes,7,75.90167874464689,6.178094,0.6414342629482072,0.0271535580524344,CD14,The selected PubMed collection discusses CD14 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CD14, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
MS4A6A,3,Classical monocytes,8,75.60063916670398,5.8542123,0.6812749003984063,0.0355805243445692,MS4A6A,The selected PubMed collection discusses MS4A6A in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for MS4A6A, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
LST1,3,Classical monocytes,9,66.89133665129742,4.502578,0.9581673306772908,0.2153558052434457,LST1,The selected PubMed collection discusses LST1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for LST1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
AIF1,3,Classical monocytes,10,65.58513220410492,4.549419,0.9581673306772908,0.2373595505617977,AIF1,The selected PubMed collection discusses AIF1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for AIF1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
FCGR3A,4,CD16+ non-classical monocytes,1,92.2402341921741,5.5800724,0.95906432748538,0.1325496554519659,FCGR3A,The selected PubMed collection discusses FCGR3A in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for FCGR3A, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
IFITM3,4,CD16+ non-classical monocytes,2,78.3010831880756,4.8395777,0.9824561403508772,0.1734900689096068,IFITM3,The selected PubMed collection discusses IFITM3 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,C,Laboratory or animal evidence predominates (1 selected experimental study/studies); repeated human evidence is insufficient.,"Selected PubMed records provide context for IFITM3, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
MS4A7,4,CD16+ non-classical monocytes,3,75.1706340233776,5.1441736,0.8011695906432749,0.0705310093230644,MS4A7,The selected PubMed collection discusses MS4A7 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for MS4A7, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
RP11-290F20.3,4,CD16+ non-classical monocytes,4,75.09823061618037,4.9943585,0.8187134502923976,0.0668828536684231,RP11-290F20.3,Direct gene-specific immune evidence was not identified by the focused PubMed search; the supplied evidence is insufficient to assign a literature-supported function.,No literature-supported immune-cell context is assigned from this evidence collection.,No mechanism is assigned. The supplied evidence is insufficient to determine this.,insufficient direct evidence,no pathway assigned,no evidence-based disease context assigned,0,E,Selected evidence is insufficient: no verified gene-specific PubMed record met the focused relevance criteria.,The focused search did not find enough direct evidence to explain RP11-290F20.3; the dataset observation remains separate from literature claims.,Deferred to Notebook 08
LST1,4,CD16+ non-classical monocytes,5,71.2121320713417,5.176203,1.0,0.3121199837859749,LST1,The selected PubMed collection discusses LST1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for LST1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
FCER1G,4,CD16+ non-classical monocytes,6,66.52742389866235,4.8471103,1.0,0.3137413862991488,FCER1G,The selected PubMed collection discusses FCER1G in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for FCER1G, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
