gene,title,journal,year,PMID,DOI,evidence_grade,study_type,summary,evidence_categories,publication_types,mesh_terms
CDKN1C,"Beckwith-Wiedemann spectrum (BWSp): an update on diagnosis, management, and follow-up from the scientific committee of the Italian BWSp association.",Italian journal of pediatrics,2025,41126215,10.1186/s13052-025-02131-3,C,Review,"PubMed abstract evidence: The disorder is primarily associated with loss or gain of methylation at imprinting control regions IC2 and IC1, paternal uniparental disomy of 11p15, or pathogenic variants in CDKN1C.",Review,Journal Article; Review,Humans; Beckwith-Wiedemann Syndrome; Italy
CDKN1C,A low-level Cdkn1c/p57kip2 expression in spinal progenitors drives the transition from proliferative to neurogenic modes of division.,EMBO reports,2026,41361693,10.1038/s44319-025-00653-9,C,Laboratory/animal study,"PubMed abstract evidence: Using single-cell RNA-seq data from the chick embryonic neural tube, we identify the cell cycle regulator Cdkn1c as a key regulator of this transition.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Animals; Cyclin-Dependent Kinase Inhibitor p57; Neurogenesis; Chick Embryo; Cell Proliferation; Neural Stem Cells; Gene Expression Regulation, Developmental; Cell Differentiation; Neurons; Spinal Cord; Neural Tube; Cell Cycle; Cell Division"
CDKN1C,Single-cell RNA-seq and in vitro study reveal Fusobacterium nucleatum impairs β-cell identity in type 2 diabetes via the NF-κB-CDKN1C axis.,Journal of translational medicine,2026,41803883,10.1186/s12967-026-07981-x,C,Human single-cell/transcriptomic study,PubMed abstract evidence: Integrated Pearson correlation and in vitro analyses identified the cell cycle regulator CDKN1C as a central mediator through which F.,Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Insulin-Secreting Cells; Humans; NF-kappa B; Fusobacterium nucleatum; Diabetes Mellitus, Type 2; RNA-Seq; Single-Cell Analysis; Signal Transduction; Single-Cell Gene Expression Analysis; Cell Differentiation"
CFD,Complement factor D targeting protects endotheliopathy in organoid and monkey models of COVID-19.,Cell stem cell,2023,37802037,10.1016/j.stem.2023.09.001,A,Human and laboratory/animal study,PubMed abstract evidence: Longitudinal serum proteome analysis identified aberrant complement signature in critically ill patients driven by the amplification cycle regulated by complement factor B and D (CFD).,Association; Mechanism; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural",Animals; Humans; COVID-19; SARS-CoV-2; Complement Factor D; Endothelial Cells; Haplorhini
CFD,FOS-driven inflammatory CAFs promote colorectal cancer liver metastasis via the SFRP1-FGFR2-HIF1 axis.,Theranostics,2025,40225580,10.7150/thno.111625,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: Results: We identified an inflammatory CAF subtype (CFD+ iCAFs) associated with poor clinical outcomes, advanced staging, and metastasis.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Animals; Colorectal Neoplasms; Mice; Liver Neoplasms; Cancer-Associated Fibroblasts; Membrane Proteins; Cell Line, Tumor; Intercellular Signaling Peptides and Proteins; Receptor, Fibroblast Growth Factor, Type 2; Hypoxia-Inducible Factor 1, alpha Subunit; Signal Transduction; Epithelial-Mesenchymal Transition; Male; Mice, Inbred BALB C; Gene Expression Regulation, Neoplastic; Female; Secreted Frizzled-Related Proteins"
CFD,Transcriptome-wide analysis reveals potential roles of CFD and ANGPTL4 in fibroblasts regulating B cell lineage for extracellular matrix-driven clustering and novel avenues for immunotherapy in breast cancer.,"Molecular medicine (Cambridge, Mass.)",2025,40340806,10.1186/s10020-025-01237-y,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: Single-cell RNA sequencing data further revealed that angiopoietin like 4 (ANGPTL4)+ fibroblasts were specifically linked to the C2 phenotype, while complement factor D (CFD)+ fibroblasts characterized the other ECM clusters.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Breast Neoplasms; Female; Extracellular Matrix; Angiopoietin-Like Protein 4; Gene Expression Regulation, Neoplastic; Immunotherapy; B-Lymphocytes; Gene Expression Profiling; Transcriptome; Tumor Microenvironment; Fibroblasts; Cell Lineage; Gene Regulatory Networks; Prognosis"
CST3,CST3 alleviates bilirubin-induced neurocytes' damage by promoting autophagy.,Translational neuroscience,2023,37854583,10.1515/tnsci-2022-0314,B,Other PubMed-indexed study,PubMed abstract evidence: It has been reported that cystatin C (CST3) concentrations have a significant positive correlation with total bilirubin (TB) levels and a negative correlation with albumin levels.,Association; Mechanism,Journal Article,
CST3,The ferroptosis-associated gene TIMP1 facilitates skin scar formation through the interaction with CST3 in fibroblasts.,International immunopharmacology,2025,40925202,10.1016/j.intimp.2025.115496,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: Further mechanistic studies demonstrated that in human dermal fibroblast cells, the ferroptosis regulator TIMP metallopeptidase inhibitor 1 (TIMP1) significantly promotes fibroblast differentiation toward a mature phenotype through interactions with cystatin C (CST3), characterized by upregulated expression of myofibroblast differentiation markers such as α-smooth muscle actin (α-SMA) and connective tissue growth...",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Fibroblasts; Cicatrix; Tissue Inhibitor of Metalloproteinase-1; Ferroptosis; Skin; Macrophages; Cells, Cultured; Cell Differentiation; Wound Healing; Cell Communication"
CST3,"Multi-Omics discovery and clinical validation of IGFBP2, B2M, and CST3 as a serum biomarker panel for diabetic kidney disease progression.",Gene,2026,41167578,10.1016/j.gene.2025.149858,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: Integration with proteomics prioritized three candidate biomarkers-IGFBP2, B2M, and CST3- which were further assessed in murine DKD models (STZ/HFD-induced) and clinical serum samples (n = 139).",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,Humans; Insulin-Like Growth Factor Binding Protein 2; Diabetic Nephropathies; Animals; Mice; Biomarkers; Disease Progression; Male; Female; Proteomics; Middle Aged; Single-Cell Analysis; Multiomics
CST7,Cystatin F is a cathepsin C-directed protease inhibitor regulated by proteolysis.,The EMBO journal,2008,18256700,10.1038/sj.emboj.7601979,B,Human laboratory study,Biochemical and human immune-cell experiments identify cystatin F as a cathepsin C-directed inhibitor enriched in cytotoxic lymphocytes.,Mechanism; Experimental evidence,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't","Amino Acid Sequence; Animals; Biomarkers, Tumor; CHO Cells; Cathepsin C; Cell Line; Cricetinae; Cricetulus; Cystatins; Endocytosis; Humans; Mice; Mice, Inbred C57BL; Molecular Sequence Data; Peptide Hydrolases; Protease Inhibitors; U937 Cells"
CST7,Cystatin F acts as a mediator of immune suppression in glioblastoma.,"Cellular oncology (Dordrecht, Netherlands)",2021,34189679,10.1007/s13402-021-00618-9,B,Human and laboratory study,Glioblastoma study reports cystatin F expression and transfer in tumor and immune cells alongside reduced NK-cell cytotoxic susceptibility.,Association; Mechanism; Experimental evidence,Journal Article,"Biomarkers, Tumor; Brain Neoplasms; CCAAT-Enhancer-Binding Protein-alpha; Cell Line, Tumor; Cells, Cultured; Cystatins; Cytotoxicity, Immunologic; Gene Expression Regulation, Neoplastic; Glioblastoma; Humans; Immunohistochemistry; Killer Cells, Natural; Microglia; Monocytes; Neoplastic Stem Cells; Reverse Transcriptase Polymerase Chain Reaction; Tumor Cells, Cultured"
CST7,Cystatin F attenuates neuroinflammation and demyelination following murine coronavirus infection of the central nervous system.,Journal of neuroinflammation,2024,38879499,10.1186/s12974-024-03153-0,B,Laboratory/animal study,Mouse coronavirus study reports altered neuroinflammation and immune-cell transcription after Cst7 deletion.,Mechanism; Experimental evidence,Journal Article,"Animals; Mice; Demyelinating Diseases; Murine hepatitis virus; Cystatins; Mice, Knockout; Coronavirus Infections; Mice, Inbred C57BL; Neuroinflammatory Diseases"
CTSW,Characterization of murine cathepsin W and its role in cell-mediated cytotoxicity.,The Journal of biological chemistry,2004,15087452,10.1074/jbc.M400304200,C,Laboratory/animal study,Mouse knockout study characterizes cathepsin W expression and tests its contribution to cell-mediated cytotoxicity.,Mechanism; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.","Alternative Splicing; Amino Acid Sequence; Animals; Base Sequence; Binding Sites; COS Cells; Cathepsin W; Cathepsins; Cell Death; Chlorocebus aethiops; Concanavalin A; Cysteine Endopeptidases; Cytotoxicity, Immunologic; Gene Expression; Interleukin-2; Killer Cells, Lymphokine-Activated; Killer Cells, Natural; Mice; Mice, Inbred BALB C; Mice, Inbred C57BL; Mice, Knockout; Molecular Sequence Data; Recombinant Proteins; Sequence Alignment; Spleen; T-Lymphocytes, Cytotoxic"
CTSW,"Cathepsin W expressed exclusively in CD8+ T cells and NK cells, is secreted during target cell killing but is not essential for cytotoxicity in human CTLs.",Experimental hematology,2009,19100676,10.1016/j.exphem.2008.10.011,C,Human laboratory study,Human cytotoxic-lymphocyte study reports cathepsin W secretion during target-cell contact but finds it nonessential in tested CTL killing assays.,Mechanism; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","CD8-Positive T-Lymphocytes; Cathepsin W; Cathepsins; Cells, Cultured; Cysteine Endopeptidases; Gene Expression Regulation, Enzymologic; Humans; Immunity, Cellular; Interferon-gamma; Killer Cells, Natural; RNA, Small Interfering"
CTSW,Unveiling the Roles of Cysteine Proteinases F and W: From Structure to Pathological Implications and Therapeutic Targets.,Cells,2024,38891048,10.3390/cells13110917,C,Review,"Review summarizes cysteine proteases F and W, including immune expression, proposed roles, pathology, and unresolved therapeutic questions.",Association; Review,"Journal Article; Review; Research Support, Non-U.S. Gov't",Humans; Animals; Cathepsin F; Neoplasms; Cysteine Proteases; Cathepsins; Substrate Specificity
FCER1G,Fc Fragment of IgE Receptor Ig (FCER1G) acts as a key gene involved in cancer immune infiltration and tumour microenvironment.,Immunology,2023,36054819,10.1111/imm.13557,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: Although recent studies have revealed the relationship between Fc Fragment of IgE Receptor Ig (FCER1G) and human tumours, there is still a lack of a more comprehensive pan-cancer analysis of FCER1G as an immune-related gene.",Association; Mechanism; Biomarker; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Humans; Receptors, IgE; Immunoglobulin Fc Fragments; Tumor Microenvironment; Neoplasms; Carcinogenesis; Prognosis; Biomarkers, Tumor"
FCER1G,Peripheral immune mapping and multi-omics analysis in Pd-1 inhibitor-induced myocarditis.,Journal of leukocyte biology,2023,37202883,10.1093/jleuko/qiad056,B,Review,"PubMed abstract evidence: Besides, reduced γδ T cells characterized with effector functions, increased natural killer T cells with high levels of FCER1G in patients may suggest an association with disease development.",Review; Mechanism; Biomarker,"Journal Article; Research Support, Non-U.S. Gov't; Review",Humans; Disease Progression; Exocytosis; Immune Checkpoint Inhibitors; Multiomics; Myocarditis
FCER1G,Fcer1g and St3gal1: Macrophage-associated angiogenesis biomarkers and therapeutic targets in sepsis-induced acute lung injury.,PloS one,2026,41758834,10.1371/journal.pone.0343449,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: RESULTS: Two macrophage-associated angiogenesis-related genes, Fcer1g (FCER1G) and St3gal1 (ST3GAL1), were identified as key biomarkers.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Acute Lung Injury; Animals; Macrophages; Sepsis; Biomarkers; Mice; Sialyltransferases; Humans; beta-Galactoside alpha-2,3-Sialyltransferase; Male; Neovascularization, Pathologic; Angiogenesis; Gene Expression Profiling"
FCER2,FCER2 (CD23) asthma-related single nucleotide polymorphisms yields increased IgE binding and Egr-1 expression in human B cells.,American journal of respiratory cell and molecular biology,2014,24010859,10.1165/rcmb.2013-0112OC,A,Human laboratory study,"PubMed abstract evidence: Polymorphisms within FCER2, the gene encoding CD23, have been associated with atopy, increased risk of exacerbations in patients with asthma, and high serum IgE levels.",Association; Mechanism; Biomarker; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Asthma; B-Lymphocytes; Cells, Cultured; Early Growth Response Protein 1; Humans; Immunoglobulin E; Lectins, C-Type; Polymorphism, Single Nucleotide; Receptors, IgE; Signal Transduction"
FCER2,"Correlations between exhaled nitric oxide, rs28364072 polymorphism of FCER2 gene, asthma control, and inhaled corticosteroid responsiveness in children with asthma.",Journal of breath research,2020,33108776,10.1088/1752-7163/abc4ec,A,Human study,"PubMed abstract evidence: This study aimed to describe the clinical and biological characteristics, and its correlation with polymorphism of rs28364072 in FCER2 of asthmatic children.",Association; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Administration, Inhalation; Adolescent; Adrenal Cortex Hormones; Asthma; Breath Tests; Child; Child, Preschool; Exhalation; Female; Humans; Immunoglobulin E; Lectins, C-Type; Male; Nitric Oxide; Polymorphism, Single Nucleotide; Prospective Studies; Receptors, IgE"
FCER2,IgG memory B cells expressing IL4R and FCER2 are associated with atopic diseases.,Allergy,2023,36445014,10.1111/all.15601,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: RESULTS: We identified a novel population of IgG memory B cells characterized by the expression of IL-4/IL-13 regulated genes FCER2/CD23, IL4R, IL13RA1, and IGHE, denoting a history of differentiation during type 2 immune responses.",Association; Mechanism; Biomarker; Experimental evidence,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Humans; Memory B Cells; Receptors, IgE; Interleukin-13; Interleukin-4; Immunoglobulin E; Immunoglobulin G; Interleukin-4 Receptor alpha Subunit; Lectins, C-Type"
FCGR3A,Differential effects of tofacitinib on macrophage activation contribute to lack of response in ulcerative colitis patients.,Journal of Crohn's & colitis,2025,40320713,10.1093/ecco-jcc/jjaf076,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: Response was associated with significant changes in the abundance and/or activation of immune, epithelial, and stromal cells and the downregulation of S100A9, FCGR3A, MMP12 in resident macrophages.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Piperidines; Pyrimidines; Colitis, Ulcerative; Female; Male; Adult; Middle Aged; Macrophage Activation; Fibroblasts; Macrophages; Pyrroles; Protein Kinase Inhibitors; Janus Kinase Inhibitors; NF-kappa B; Signal Transduction"
FCGR3A,Spatial transcriptomics reveals distinct role of monocytes/macrophages with high FCGR3A expression in kidney transplant rejections.,Frontiers in immunology,2025,41030449,10.3389/fimmu.2025.1654741,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: Subclusters of monocytes/macrophages with high Fc gamma receptor IIIA (FCGR3A) expression were identified in C4d-positive active AMR and acute TCMR, and the spatial distribution of these cells corresponded to the characteristic histopathological features.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Kidney Transplantation; Graft Rejection; Macrophages; Monocytes; Receptors, IgG; Transcriptome; Male; Female; Middle Aged; Gene Expression Profiling; Adult; Immunity, Innate"
FCGR3A,"Single-cell spatial transcriptomics reveal intraglomerular cell activation and ligand-receptor relationships in chronic, active antibody mediated rejection.",Kidney international,2026,41173191,10.1016/j.kint.2025.08.042,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: Proximity of NK cells and macrophages with GEC revealed several potential ligand receptor interactions previously unappreciated, including GEC IL33→NK cell IL1RL1 and GEC HLA-DQA1→Macrophage FCGR3A, implicating NK cell and macrophage activation in endothelial injury.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Graft Rejection; Kidney Transplantation; Single-Cell Analysis; Macrophages; Endothelial Cells; Killer Cells, Natural; Kidney Glomerulus; Transcriptome; Male; Female; Gene Expression Profiling; Ligands; Middle Aged; Adult; Biopsy"
FCN1,Sputum Transcriptomics Reveals FCN1+ Macrophage Activation in Mild Eosinophilic Asthma Compared to Non-Asthmatic Eosinophilic Bronchitis.,"Allergy, asthma & immunology research",2024,38262391,10.4168/aair.2024.16.1.55,C,Other PubMed-indexed study,"PubMed abstract evidence: FABP4+ macrophages, SPP1+ macrophages, FCN1+ macrophages, dendritic cells, T cells, B cells, mast cells, and epithelial cells were identified based on gene expression profiling.",Association; Mechanism; Biomarker,Journal Article,
FCN1,Multi-omics evaluation of the prognostic value and immune signature of FCN1 in pan-cancer and its relationship with proliferation and apoptosis in acute myeloid leukemia.,Frontiers in genetics,2024,39139822,10.3389/fgene.2024.1425075,C,Laboratory or other primary study,"PubMed abstract evidence: BACKGROUND: The FCN1 gene encodes the ficolin-1 protein, implicated in the pathogenesis of various diseases, though its precise role in tumorigenesis remains elusive.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,
FCN1,Cross-tissue organization of myeloid cells in scleroderma and related fibrotic diseases.,Current opinion in rheumatology,2024,39171604,10.1097/BOR.0000000000001047,C,Review,"PubMed abstract evidence: DC3 express similar inflammatory genes to monocytes, including FCN1 , IL1B, VCAN, S100A8, S100A9 , and S100A12 .",Review; Mechanism; Biomarker,Journal Article; Review,"Humans; Scleroderma, Systemic; Myeloid Cells; Fibrosis; Skin; Single-Cell Analysis; Liver Cirrhosis; Macrophages; Dendritic Cells; COVID-19; Pulmonary Fibrosis"
FGFBP2,Discovery of specialized NK cell populations infiltrating human melanoma metastases.,JCI insight,2019,31801909,10.1172/jci.insight.133103,A,Human single-cell/transcriptomic study,Human melanoma single-cell study identifies specialized blood and tumor NK populations using FGFBP2 and CD16-related markers.,Association; Biomarker,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Cell Line, Tumor; Chemokines; Chemokines, C; Cross-Priming; Gene Expression Regulation, Neoplastic; Humans; Immunity, Innate; Killer Cells, Natural; Lymphocytes, Tumor-Infiltrating; Melanoma; Neoplasm Metastasis"
FGFBP2,Delineating the early dissemination mechanisms of acral melanoma by integrating single-cell and spatial transcriptomic analyses.,Nature communications,2023,38065972,10.1038/s41467-023-43980-y,A,Human single-cell/transcriptomic study,Human single-cell and spatial melanoma analysis reports FGFBP2-positive cytotoxic lymphocyte states across clinical tissue groups.,Association; Biomarker,"Journal Article; Research Support, Non-U.S. Gov't",Humans; Melanoma; Skin Neoplasms; Lymphatic Metastasis; Gene Expression Profiling; Transcriptome; Tumor Microenvironment
FGFBP2,Single-cell data revealed exhaustion of characteristic NK cell subpopulations and T cell subpopulations in hepatocellular carcinoma.,Aging,2024,38604154,10.18632/aging.205723,A,Human single-cell/transcriptomic study,Single-cell analysis of human hepatocellular carcinoma labels an FGFBP2-positive NK subset and reports disease-associated state differences.,Association; Computational evidence,Journal Article,"Humans; Carcinoma, Hepatocellular; Liver Neoplasms; Single-Cell Analysis; Killer Cells, Natural; Tumor Microenvironment; CTLA-4 Antigen; Lymphocytes, Tumor-Infiltrating; Prognosis; Gene Expression Regulation, Neoplastic; T-Lymphocyte Subsets"
GNG11,Assessment of Significant Pathway Signaling and Prognostic Value of GNG11 in Ovarian Serous Cystadenocarcinoma.,International journal of general medicine,2021,34113163,10.2147/IJGM.S314911,B,Computational study,PubMed abstract evidence: BACKGROUND: GNG11 (G protein subunit gamma 11) is a member of guanine nucleotide-binding protein (G protein) gamma family.,Association; Mechanism; Biomarker,Journal Article,
GNG11,Identification of hub biomarkers in coronary artery disease patients using machine learning and bioinformatic analyses.,Scientific reports,2025,40383719,10.1038/s41598-025-02123-7,B,Human and laboratory/animal study,"PubMed abstract evidence: Eleven hub biomarkers (ITM2B, GNA15, PLAU, GNG11, HIST1H2BH, SLC11A1, RPS7, DDIT4, CD83, GNLY, and S100A12) were identified and associated with CD8 + T cells and NK cells.",Association; Biomarker; Experimental evidence,Journal Article,Humans; Machine Learning; Biomarkers; Coronary Artery Disease; Computational Biology; Animals; Gene Expression Profiling; Gene Regulatory Networks; Signal Transduction; Male
GNG11,Identification of key genes related to macrophages and metabolic reprogramming in myocardial infarct based on single-cell and bulk transcriptomics data and experimental validation.,BMC cardiovascular disorders,2026,42135635,10.1186/s12872-026-05822-9,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: The key genes (ABCG1, GNG11, and RPL24) were successfully identified.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article; Validation Study,"Macrophages; Myocardial Infarction; Gene Expression Profiling; Metabolic Reprogramming; Humans; Transcriptome; Single-Cell Gene Expression Analysis; Single-Cell Analysis; Reproducibility of Results; Energy Metabolism; ATP Binding Cassette Transporter, Subfamily G, Member 1; Gene Regulatory Networks; Animals"
GNLY,Granulysin.,Current opinion in immunology,2003,14499265,10.1016/s0952-7915(03)00097-9,B,Review,"Review summarizes granulysin structure, processing, antimicrobial activity, and cytotoxic activity.",Mechanism; Review,Journal Article; Review,"Amino Acid Sequence; Antigens, Differentiation, T-Lymphocyte; Apoptosis; Communicable Diseases; Cytoplasmic Granules; Humans; Jurkat Cells; Killer Cells, Natural; Models, Molecular; Neoplasms; Receptors, Immunologic; Sequence Homology, Amino Acid; T-Lymphocytes, Cytotoxic"
GNLY,Granulysin species segregate to different lysosome-related effector vesicles (LREV) and get mobilized by either classical or non-classical degranulation.,Molecular immunology,2019,30658247,10.1016/j.molimm.2018.12.031,B,Human laboratory study,Human lymphocyte experiments report that granulysin forms occupy different effector vesicles and can follow different release routes.,Mechanism; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Antigens, Differentiation, T-Lymphocyte; CD4-Positive T-Lymphocytes; CD8-Positive T-Lymphocytes; Cell Degranulation; Cytoplasmic Vesicles; Fas Ligand Protein; Humans; Lymphocyte Activation; Lymphocyte Subsets; Lysosomes; Molecular Weight; Protein Transport"
GNLY,Decidual NK Cells Transfer Granulysin to Selectively Kill Bacteria in Trophoblasts.,Cell,2020,32822574,10.1016/j.cell.2020.07.019,B,Human ex vivo/laboratory study,Human decidual and peripheral NK-cell experiments report granulysin transfer that kills intracellular bacteria while sparing host cells.,Mechanism; Experimental evidence,"Journal Article; Research Support, N.I.H., Extramural","Animals; Antigens, Differentiation, T-Lymphocyte; Bacteria; Cell Line; Cell Line, Tumor; Cell Movement; Dendritic Cells; Female; HeLa Cells; Humans; Killer Cells, Natural; Macrophages; Male; Mice; Mice, Inbred BALB C; Mice, Inbred C57BL; Mice, Transgenic; Placenta; Pregnancy; Rats; THP-1 Cells; Trophoblasts"
GP9,Spectrum of the mutations in Bernard-Soulier syndrome.,Human mutation,2014,24934643,10.1002/humu.22607,B,Review,"PubMed abstract evidence: Most of the mutations identified in the genes encoding for the GP1BA (GPIbα), GP1BB (GPIbβ), and GP9 (GPIX) subunits prevent expression of the complex at the platelet membrane or more rarely its interaction with VWF.",Review; Biomarker,Journal Article; Review,"Alleles; Bernard-Soulier Syndrome; Databases, Nucleic Acid; Founder Effect; Genetic Variation; Humans; Mutation; Platelet Glycoprotein GPIb-IX Complex; Polymorphism, Single Nucleotide; Web Browser; von Willebrand Diseases"
GP9,Two novel variants of uncertain significance in GP9 associated with Bernard-Soulier syndrome: Are they true mutations?,Platelets,2018,29119855,10.1080/09537104.2017.1371288,B,Human study,"PubMed abstract evidence: A large number of mutations, sometimes involving the GP9 gene, have been described as possibly responsible for the disease.",Association; Biomarker; Experimental evidence,Case Reports; Journal Article,"Alleles; Bernard-Soulier Syndrome; Biomarkers; Child, Preschool; Computational Biology; Female; Genetic Association Studies; Genetic Variation; Genotype; Humans; Models, Molecular; Mutation; Phenotype; Platelet Glycoprotein GPIb-IX Complex; Protein Conformation; Sequence Analysis, DNA; Structure-Activity Relationship"
GP9,Bernard-Soulier syndrome: first human case due to a homozygous deletion of GP9 gene.,British journal of haematology,2020,32030720,10.1111/bjh.16374,B,Human study,PubMed abstract evidence: The publication title identifies GP9 as its subject: Bernard-Soulier syndrome: first human case due to a homozygous deletion of GP9 gene.,Association; Experimental evidence,Case Reports; Journal Article,"Bernard-Soulier Syndrome; Bone Marrow; Humans; Infant, Newborn; Male; Pedigree; Platelet Glycoprotein GPIb-IX Complex; Sequence Deletion"
GZMA,Granzymes and Mitochondria.,Biochemistry. Biokhimiia,2020,32093590,10.1134/S0006297920020017,B,Review,Review compares granzyme effects involving mitochondria and emphasizes distinct mechanisms among granzyme family members.,Mechanism; Review,Journal Article; Review,Animals; Cell Death; Granzymes; Humans; Mitochondria; Reactive Oxygen Species
GZMA,Granzyme A from cytotoxic lymphocytes cleaves GSDMB to trigger pyroptosis in target cells.,"Science (New York, N.Y.)",2020,32299851,10.1126/science.aaz7548,B,Human and laboratory/animal study,Human-cell and mouse experiments report granzyme A cleavage of GSDMB and target-cell pyroptosis under specified conditions.,Mechanism; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Granzymes; HEK293 Cells; Humans; Interferon-gamma; Killer Cells, Natural; Mice; Mice, Inbred BALB C; Mice, Transgenic; Neoplasm Proteins; Neoplasms; Pore Forming Cytotoxic Proteins; Protein Domains; Proteolysis; Pyroptosis; T-Lymphocytes, Cytotoxic; Gasdermins"
GZMA,Butyrate limits human natural killer cell effector function.,Scientific reports,2023,36792800,10.1038/s41598-023-29731-5,B,Human ex vivo study,Ex vivo human blood NK-cell study reports reduced granzyme A and other effector outputs after butyrate exposure.,Mechanism; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Humans; Interleukin-15; Butyrates; Proteomics; Cytokines; Killer Cells, Natural; Interleukin-12; Inflammation; Vesicular Transport Proteins; Methionine Adenosyltransferase"
GZMB,Single-cell transcriptomics of blood reveals a natural killer cell subset depletion in tuberculosis.,EBioMedicine,2020,32114394,10.1016/j.ebiom.2020.102686,B,Human single-cell/transcriptomic study,Human blood single-cell study reports depletion of a cytotoxic NK-cell subset in tuberculosis and uses cytotoxic-effector genes to define it.,Association; Biomarker,Journal Article,"Adolescent; Adult; Biomarkers; Female; Humans; Killer Cells, Natural; Latent Tuberculosis; Lymphocyte Count; Male; Middle Aged; Single-Cell Analysis; Transcriptome; Tuberculosis, Pulmonary"
GZMB,Pretreatment with IL-15 and IL-18 rescues natural killer cells from granzyme B-mediated apoptosis after cryopreservation.,Nature communications,2024,38729924,10.1038/s41467-024-47574-0,B,Human ex vivo/laboratory study,Human NK-cell cryopreservation experiments report granzyme B-associated apoptosis and test cytokine pretreatment as a protective intervention.,Mechanism; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural","Animals; Humans; Mice; Apoptosis; Cell Line, Tumor; CRISPR-Cas Systems; Cryopreservation; Granzymes; Interleukin-15; Interleukin-18; Killer Cells, Natural"
GZMB,Reassessing granzyme B: unveiling perforin-independent versatility in immune responses and therapeutic potentials.,Frontiers in immunology,2024,38846935,10.3389/fimmu.2024.1392535,B,Review,Review describes perforin-dependent and perforin-independent granzyme B activity across immune and pathological contexts.,Mechanism; Association,"Journal Article; Review; Research Support, N.I.H., Extramural","Granzymes; Humans; Perforin; Animals; T-Lymphocytes, Cytotoxic; Killer Cells, Natural; Autoimmune Diseases; Neoplasms"
GZMB,Natural Killer cells at the frontline in the fight against cancer.,Cell death & disease,2024,39179536,10.1038/s41419-024-06976-0,B,Review,Review organizes granzyme B with perforin and granulysin in the cytotoxic arsenal used by NK cells.,Mechanism; Review,Journal Article; Review,"Humans; Killer Cells, Natural; Neoplasms; Tumor Microenvironment; Animals; Cytotoxicity, Immunologic"
GZMH,Intrathecally expanded GZMK+/GZMH+ CD8 T cells targeting EBV antigens may reduce severity of Multiple Sclerosis.,medRxiv : the preprint server for health sciences,2025,40970118,10.1101/2025.08.05.25333071,B,Laboratory or other primary study,"PubMed abstract evidence: Combining cerebrospinal fluid B cell receptor and T cell receptor repertoire analysis with transcriptional/ flow cytometry cellular profiles in hundreds of deeply-phenotyped people with Multiple Sclerosis (pwMS) and controls, we identified intrathecal expansion of anti-viral, cytotoxic, granzymes H/K (GZMH+/GZMK+) double positive (DP) CD8+ T cells that recognize EBV epitopes in pwMS.",Association; Mechanism; Experimental evidence,Journal Article; Preprint,
