cluster,pct_in,marker_score,cell_type,gene,pct_out,avg_log2FC,specificity_delta,adjusted_p_value,representative_rank
3,0.9760956175298804,109.7636189749541,Classical monocytes,S100A9,0.2120786516853932,7.1833234,0.7640169658444872,2.2115339447633668e-238,3
3,0.9362549800796812,86.45212355002464,Classical monocytes,FCN1,0.146067415730337,5.4703546,0.7901875643493442,1.1434267339458408e-201,4
3,0.9920318725099602,85.9364770541206,Classical monocytes,CST3,0.2584269662921348,5.8571362,0.7336049062178254,2.2832867344300277e-223,5
4,0.95906432748538,92.2402341921741,CD16+ non-classical monocytes,FCGR3A,0.1325496554519659,5.5800724,0.826514672033414,2.01964629232434e-83,1
4,0.9824561403508772,78.3010831880756,CD16+ non-classical monocytes,IFITM3,0.1734900689096068,4.8395777,0.8089660714412704,8.11845603986494e-80,2
4,0.8011695906432749,75.1706340233776,CD16+ non-classical monocytes,MS4A7,0.0705310093230644,5.1441736,0.7306385813202104,1.499904248053944e-58,3
4,0.8187134502923976,75.09823061618037,CD16+ non-classical monocytes,RP11-290F20.3,0.0668828536684231,4.9943585,0.7518305966239746,5.524284345280325e-60,4
4,1.0,71.2121320713417,CD16+ non-classical monocytes,LST1,0.3121199837859749,5.176203,0.6878800162140251,5.8328983912249425e-92,5
5,0.9738562091503268,142.9589095301745,NK cells,GZMB,0.0680080482897384,7.890887,0.9058481608605884,4.623276209925648e-85,1
5,0.8954248366013072,115.46234234205232,NK cells,FGFBP2,0.0615694164989939,6.923403,0.8338554201023133,1.1847349097532011e-70,2
5,0.915032679738562,114.8268981531016,NK cells,GNLY,0.1348088531187122,7.358587,0.7802238266198498,2.0515029702828592e-72,3
5,0.9673202614379084,112.4117466642469,NK cells,PRF1,0.1062374245472837,6.527348,0.8610828368906247,9.805124812101754e-83,4
5,1.0,104.00649376257546,NK cells,NKG7,0.255533199195171,6.985301,0.744466800804829,4.393452119594913e-88,5
6,0.5234375,2.03241700338614,Activated/transitional T cells,CCL5,0.3059760956175298,2.067858,0.2174614043824702,3.022016116157265e-05,1
6,0.765625,1.7583240078907552,Activated/transitional T cells,IL32,0.5414342629482072,1.3779407,0.2241907370517928,2.0332267820036543e-06,2
6,0.71875,1.725987868934483,Activated/transitional T cells,CD3D,0.5099601593625498,1.3333517,0.2087898406374502,6.311239606536858e-07,3
6,1.0,0.0149560421210194,Activated/transitional T cells,RPL23A,0.9908366533864542,0.4245826,0.0091633466135457,0.0001431691946316,4
6,1.0,0.0136292655385124,Activated/transitional T cells,RPS3,0.995617529880478,0.4754256,0.0043824701195219,2.874727576900978e-07,5
7,0.54,24.002753697111523,Naive/resting T cells,CCR7,0.1256855575868373,2.8966832,0.4143144424131627,1.7627855813045156e-44,1
7,0.86,14.993219074588666,Naive/resting T cells,CD3D,0.4501828153564899,1.829257,0.4098171846435101,1.5051869116857028e-39,2
7,0.9533333333333334,12.718891363680685,Naive/resting T cells,LDHB,0.6179159049360147,1.8959795,0.3354174283973187,1.3787548038729649e-73,3
7,0.3977777777777778,11.50633736025499,Naive/resting T cells,PRKCQ-AS1,0.1215722120658135,2.2133627,0.2762055657119643,1.5086649545983532e-19,4
7,0.6911111111111111,10.782675018582168,Naive/resting T cells,NOSIP,0.3752285191956124,1.7067536,0.3158825919154987,2.4131428997325073e-35,5
8,1.0,68.17994743964287,Platelets,PPBP,0.0247430529120669,13.376807,0.9752569470879332,5.940329795290688e-06,1
8,1.0,67.04897537540963,Platelets,PF4,0.0114198705748001,12.977622,0.9885801294252,5.940329795290688e-06,2
8,1.0,65.6821704004705,Platelets,GNG11,0.0102778835173201,12.698402,0.98972211648268,5.940329795290688e-06,3
8,1.0,62.03194561340757,Platelets,SDPR,0.0118005329272934,12.011179,0.9881994670727066,5.940329795290688e-06,4
8,1.0,58.067192130071696,Platelets,SPARC,0.0091358964598401,11.213252,0.99086410354016,5.940329795290688e-06,5
